SEASON,TEAM,AVG,OBP,SLG,ERA,WHIP,GRADE
20,LG,0.277,0.349,0.428,4.39,1.42,3
20,KT,0.284,0.358,0.436,4.56,1.46,2
20,키움,0.269,0.355,0.408,4.39,1.39,5
20,NC,0.291,0.366,0.462,4.59,1.42,1
20,삼성,0.268,0.338,0.394,4.78,1.47,8
20,SSG,0.25,0.329,0.383,5.6,1.6,9
20,롯데,0.276,0.354,0.408,4.64,1.41,7
20,두산,0.293,0.365,0.427,4.4,1.46,3
20,한화,0.245,0.32,0.338,5.29,1.59,10
20,KIA,0.274,0.351,0.404,5.14,1.54,6
21,LG,0.25,0.342,0.368,3.59,1.31,3
21,KT,0.265,0.356,0.382,3.68,1.32,1
21,한화,0.237,0.334,0.341,4.68,1.49,10
21,SSG,0.261,0.354,0.421,4.84,1.51,6
21,키움,0.259,0.347,0.376,4.33,1.46,5
21,삼성,0.267,0.344,0.399,4.3,1.45,1
21,NC,0.261,0.343,0.416,4.54,1.48,7
21,두산,0.268,0.35,0.39,4.26,1.48,4
21,KIA,0.248,0.337,0.336,4.91,1.5,9
21,롯데,0.278,0.356,0.399,5.38,1.57,8
22,LG,0.269,0.346,0.396,3.33,1.27,2
22,SSG,0.254,0.336,0.396,3.9,1.29,1
22,KT,0.254,0.33,0.375,3.56,1.25,3
22,키움,0.252,0.333,0.363,3.8,1.34,3
22,KIA,0.272,0.349,0.398,4.21,1.42,5
22,NC,0.257,0.334,0.375,3.91,1.36,6
22,한화,0.245,0.319,0.352,4.82,1.51,10
22,삼성,0.27,0.334,0.387,4.33,1.44,7
22,두산,0.255,0.324,0.365,4.46,1.48,9
22,롯데,0.267,0.328,0.383,4.47,1.46,8
