team,year,batting_average,on_base_percentage,slugging_percentage,on_base_plus_slugging,Fielding_Percentage,ERA,WHIP
LG,23,0.285,0.373,0.394,0.767,0.974,3.66,1.33
NC,23,0.266,0.346,0.384,0.73,0.974,3.67,1.34
SSG,23,0.259,0.336,0.396,0.732,0.979,4.06,1.5
두산,23,0.257,0.336,0.372,0.708,0.979,3.9,1.36
KIA,23,0.26,0.331,0.367,0.698,0.982,3.82,1.44
키움,23,0.254,0.328,0.347,0.675,0.982,3.77,1.33
KT,23,0.264,0.335,0.36,0.695,0.979,4.38,1.4
한화,23,0.241,0.328,0.344,0.673,0.981,3.88,1.34
삼성,23,0.252,0.322,0.356,0.678,0.983,4.57,1.46
롯데,23,0.255,0.327,0.346,0.673,0.985,4.53,1.52
