id,name,team,war,games_played,plate_appearances,at_bats,runs_scored,hits,doubles,triples,home_runs,total_bases,runs_batted_in,stolen_bases,caught_stealing,walks,hit_by_pitch,sacrifice_hits,strikeouts,double_plays,sacrifice_bunts,sacrifice_flies,batting_average,on_base_percentage,slugging_percentage,on_base_plus_slugging,weighted_on_base_average,weighted_runs_created_plus,war_another_source,win_probability_added
1,김상수,KT,2.16,73,294,255,36,79,12,0,1,94,31,5,2,30,2,0,36,4,5,2,0.31,0.384,0.369,0.753,0.356,116.5,2.16,0.43
2,장성우,KT,1.89,74,255,226,22,62,13,0,7,96,40,1,1,24,1,1,43,4,1,3,0.274,0.343,0.425,0.767,0.355,116.1,1.89,-0.39
3,알포드,KT,1.81,69,291,256,40,77,14,1,7,114,34,8,1,30,3,1,74,5,0,2,0.301,0.378,0.445,0.823,0.384,135.9,1.81,0.03
4,황재균,KT,1.33,45,188,167,28,50,10,2,1,67,19,3,2,18,1,0,31,5,1,1,0.299,0.369,0.401,0.77,0.363,121.2,1.33,0.45
5,김민혁,KT,1.26,66,254,226,38,68,11,2,2,89,21,4,1,19,2,0,33,2,5,2,0.301,0.357,0.394,0.751,0.348,111.5,1.26,0.1
6,박병호,KT,0.85,71,283,247,26,66,9,0,7,96,42,1,0,27,4,1,71,7,0,5,0.267,0.343,0.389,0.731,0.343,108.2,0.85,1.27
7,강백호,KT,0.57,52,213,187,27,51,8,1,5,76,29,0,0,24,0,3,42,0,0,2,0.273,0.352,0.406,0.759,0.351,113.8,0.57,0.06
8,김준태,KT,0.48,34,76,67,7,18,4,0,2,28,18,1,0,7,1,0,17,2,1,0,0.269,0.347,0.418,0.765,0.355,116.2,0.48,0.11
9,문상철,KT,0.41,65,205,191,17,52,13,0,6,83,25,3,0,10,1,0,41,2,0,3,0.272,0.307,0.435,0.742,0.341,106.5,0.41,0.63
10,홍현빈,KT,0.34,44,86,73,15,17,2,0,0,19,1,2,0,13,0,0,21,2,0,0,0.233,0.349,0.26,0.609,0.308,83.6,0.34,-0.55
11,이호연,KT,0.29,29,93,88,9,26,0,1,2,34,12,1,0,2,1,0,21,2,1,1,0.295,0.315,0.386,0.702,0.325,95.8,0.29,0.74
12,박경수,KT,0.17,59,150,126,9,27,11,0,0,38,7,0,0,22,1,1,27,1,1,0,0.214,0.336,0.302,0.637,0.31,84.4,0.17,0.09
13,안치영,KT,0.17,31,78,68,12,19,2,0,0,21,6,2,0,5,2,0,21,1,2,1,0.279,0.342,0.309,0.651,0.309,83.9,0.17,-0.14
14,신본기,KT,0.15,14,34,28,3,6,1,0,1,10,3,0,0,4,2,0,4,3,0,0,0.214,0.353,0.357,0.71,0.345,111.0,0.15,-0.3
15,배정대,KT,0.13,33,111,93,15,20,1,0,0,21,11,2,0,15,0,0,27,0,1,2,0.215,0.318,0.226,0.544,0.274,60.7,0.13,-0.01
16,정준영,KT,0.1,31,55,48,6,14,2,0,0,16,6,0,0,3,0,0,11,1,4,0,0.292,0.333,0.333,0.667,0.297,75.8,0.1,-0.36
17,송민섭,KT,0.04,17,6,4,3,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0.25,0.5,0.25,0.75,0.407,154.2,0.04,0.03
18,강현우,KT,0.01,35,77,74,9,16,5,0,1,24,8,0,1,3,0,0,15,3,0,0,0.216,0.247,0.324,0.571,0.268,55.9,0.01,-1.11
19,문상인,KT,0.01,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.0,,,0.727,,0.01,0.0
24,박민석,KT,-0.0,4,4,4,1,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0.25,0.25,0.25,0.5,0.239,31.4,-0.0,-0.03
25,강민성,KT,-0.01,12,27,22,2,4,1,0,0,5,0,0,0,4,0,0,10,0,1,0,0.182,0.308,0.227,0.535,0.264,53.1,-0.01,-0.31
26,문상준,KT,-0.05,2,5,5,1,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0.2,0.2,0.2,0.4,0.192,-1.5,-0.05,-0.04
27,손민석,KT,-0.05,9,12,10,2,1,0,0,0,1,1,0,0,1,1,0,3,0,0,0,0.1,0.25,0.1,0.35,0.204,14.2,-0.05,-0.14
28,오윤석,KT,-0.1,29,73,69,4,15,4,0,1,22,4,0,0,3,1,0,15,2,0,0,0.217,0.26,0.319,0.579,0.274,60.7,-0.1,-0.84
29,김병희,KT,-0.15,5,9,8,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0.0,0.111,0.0,0.111,0.081,-70.1,-0.15,-0.07
30,조용호,KT,-0.19,36,105,97,10,24,1,0,0,25,4,2,0,8,0,0,20,2,0,0,0.247,0.305,0.258,0.563,0.278,62.9,-0.19,-0.7
