id,name,team,war,games_played,complete_games,shutouts,games_started,wins,losses,saves,holds,innings_pitched,runs_allowed,earned_runs,batters_faced,hits_allowed,doubles_allowed,triples_allowed,home_runs_allowed,walks_allowed,hit_by_pitch,intentional_walks,strikeouts,balks,wild_pitches,era,fip,whip,era_plus,fip_plus,war_another_source,wpa
1,페냐,한화,2.89,17,0,0,17,7,5,0,0,98.2,35,31,407,79,15,1,8,32,0,8,82,1,11,2.83,3.98,1.13,143.2,101.8,2.89,0.88
2,문동주,한화,1.92,16,0,0,16,6,6,0,0,83.0,33,32,344,73,16,1,2,30,0,3,77,1,3,3.47,3.02,1.24,116.7,133.6,1.92,0.17
3,이태양,한화,1.43,31,0,0,2,1,0,0,2,43.0,12,11,178,35,12,1,1,10,0,1,36,0,0,2.3,2.77,1.05,175.9,145.8,1.43,0.67
4,산체스,한화,1.43,10,0,0,10,5,1,0,0,51.2,18,15,213,50,8,0,0,11,0,3,41,0,1,2.61,2.6,1.18,155.0,155.0,1.43,0.75
5,박상원,한화,1.37,28,0,0,0,4,0,7,0,31.1,9,8,130,20,2,1,1,16,1,3,27,0,1,2.3,3.79,1.15,176.3,106.7,1.37,1.15
6,윤대경,한화,1.09,26,0,0,0,2,0,0,2,29.0,6,6,114,20,4,0,3,8,0,3,14,0,1,1.86,4.89,0.97,217.5,82.9,1.09,0.39
7,김범수,한화,0.99,37,0,0,0,3,2,0,9,30.0,11,10,133,27,4,0,1,17,2,2,23,0,0,3.0,3.97,1.47,135.0,101.8,0.99,0.47
8,한승주,한화,0.79,29,0,0,2,1,2,0,2,41.1,17,16,182,46,7,1,5,18,2,1,36,0,4,3.48,4.44,1.55,116.3,91.5,0.79,-0.11
9,정우람,한화,0.64,32,0,0,0,0,1,0,5,25.2,10,10,108,22,4,0,2,10,0,1,18,0,1,3.51,4.27,1.25,115.5,94.9,0.64,1.02
10,주현상,한화,0.56,16,0,0,0,0,1,0,2,18.1,5,5,77,13,0,1,0,9,1,0,21,0,0,2.45,2.39,1.2,165.0,168.7,0.56,0.37
11,강재민,한화,0.48,36,0,0,0,1,3,0,11,36.2,18,18,151,21,4,1,3,16,0,6,35,0,0,4.42,4.33,1.01,91.7,93.7,0.48,-0.4
12,한승혁,한화,0.11,16,0,0,3,0,1,0,1,24.1,14,14,110,29,5,0,2,11,0,1,19,0,3,5.18,4.36,1.64,78.2,92.9,0.11,-1.07
13,이충호,한화,0.04,1,0,0,0,0,0,0,0,1.0,0,0,4,0,0,0,0,0,0,1,1,0,0,0.0,4.37,0.0,,92.5,0.04,0.0
14,김기중,한화,-0.02,30,0,0,0,0,1,0,0,28.0,18,15,133,27,4,2,1,22,1,7,23,0,2,4.82,5.19,1.75,84.0,77.9,-0.02,0.22
15,김규연,한화,-0.03,1,0,0,0,0,0,0,0,1.0,1,1,5,1,0,0,0,1,0,0,0,0,0,9.0,6.37,2.0,45.0,63.3,-0.03,-0.06
16,스미스,한화,-0.05,1,0,0,1,0,0,0,0,2.2,2,2,12,3,0,0,0,0,0,1,2,0,0,6.75,3.0,1.13,60.0,134.6,-0.05,0.11
17,송윤준,한화,-0.07,4,0,0,0,0,0,0,0,4.1,4,4,19,4,2,0,0,2,0,0,3,1,0,8.31,3.37,1.39,48.8,119.5,-0.07,-0.04
18,장시환,한화,-0.07,5,0,0,0,0,1,0,0,4.1,3,3,24,8,3,0,0,4,1,1,3,0,0,6.23,4.76,2.77,65.0,85.0,-0.07,-0.61
19,윤산흠,한화,-0.09,5,0,0,0,0,0,0,0,3.0,2,2,18,3,1,0,0,6,0,0,3,0,0,6.0,7.37,3.0,67.5,54.8,-0.09,-0.46
20,장민재,한화,-0.13,11,0,0,11,2,5,0,0,51.2,33,26,224,56,10,1,10,14,0,5,40,0,4,4.53,5.44,1.36,89.4,74.7,-0.13,-0.42
21,장지수,한화,-0.14,1,0,0,0,0,0,0,0,2.0,5,4,11,4,0,0,0,2,0,0,0,0,1,18.0,6.37,3.0,22.5,63.3,-0.14,-0.01
22,김서현,한화,-0.18,18,0,0,0,0,0,1,0,17.2,13,11,82,16,3,1,1,13,1,5,23,1,2,5.6,4.39,1.64,72.3,92.3,-0.18,0.16
23,김재영,한화,-0.21,3,0,0,0,0,0,0,0,4.0,5,5,20,5,1,1,1,2,0,1,3,0,0,11.25,7.37,1.75,36.0,55.2,-0.21,-0.29
24,남지민,한화,-0.26,10,0,0,4,1,5,0,0,22.1,17,16,107,33,7,0,0,6,0,3,16,0,2,6.45,3.15,1.75,62.8,128.0,-0.26,-0.84
25,김민우,한화,-1.06,12,0,0,12,1,6,0,0,51.2,43,40,243,65,16,2,6,28,0,2,43,0,5,6.97,4.96,1.8,58.1,81.8,-1.06,-1.61
