id,name,team,war,games_played,complete_games,shutouts,games_started,wins,losses,saves,holds,innings_pitched,runs_allowed,earned_runs,batters_faced,hits_allowed,doubles_allowed,triples_allowed,home_runs_allowed,walks_allowed,hit_by_pitch,intentional_walks,strikeouts,balks,wild_pitches,era,fip,wOBA,whip,era_plus,fip_plus,war_another_source
1,최지민,KIA,1.8,37,0,0,0,3,2,3,6,42.1,9,8,168,27,4,0,2,19,1,1,33,0,4,1.7,3.77,1.09,234.8,106.1,1.8,1.21
2,임기영,KIA,1.49,33,0,0,0,1,1,2,7,51.0,16,15,203,36,7,1,1,13,1,5,39,0,1,2.65,3.1,0.96,150.9,129.6,1.49,0.94
3,양현종,KIA,1.29,16,0,0,16,5,5,0,0,90.1,43,38,400,108,22,0,6,26,1,1,82,0,2,3.79,3.28,1.48,105.5,121.7,1.29,0.26
4,이준영,KIA,1.25,38,0,0,0,1,0,0,7,23.0,3,3,102,18,2,0,0,15,2,0,22,0,1,1.17,3.16,1.44,340.2,126.9,1.25,0.36
5,이의리,KIA,1.1,16,0,0,16,7,5,0,0,73.0,33,31,335,49,9,0,1,62,1,3,94,0,3,3.82,3.61,1.52,104.5,111.5,1.1,0.45
6,윤영철,KIA,0.92,14,0,0,13,5,4,0,0,68.1,32,31,292,68,13,3,3,24,0,1,39,1,4,4.08,3.9,1.35,97.8,102.8,0.92,0.44
7,정해영,KIA,0.67,24,0,0,0,3,1,7,1,21.2,8,7,95,25,1,0,3,7,0,1,11,0,0,2.91,5.27,1.48,137.4,75.8,0.67,0.1
8,앤더슨,KIA,0.63,14,0,0,14,4,7,0,0,79.0,42,33,336,76,12,3,6,26,0,2,64,0,10,3.76,3.8,1.29,106.2,105.2,0.63,-0.03
9,전상현,KIA,0.51,34,0,0,0,1,1,1,7,27.2,12,9,128,26,4,0,1,17,2,1,26,0,0,2.93,3.7,1.55,136.4,108.1,0.51,0.07
10,김유신,KIA,0.43,12,0,0,0,0,1,0,1,13.1,4,4,61,15,1,0,1,8,0,1,3,0,0,2.7,5.92,1.73,147.9,67.7,0.43,-0.54
11,산체스,KIA,0.35,1,0,0,1,1,0,0,0,6.1,1,1,23,5,1,0,1,0,0,0,10,0,0,1.42,2.27,0.79,281.1,173.9,0.35,0.24
12,김기훈,KIA,0.28,22,0,0,0,2,0,0,0,25.0,12,10,120,21,4,1,0,29,1,2,20,0,3,3.6,5.37,2.0,110.9,74.8,0.28,-0.84
13,장현식,KIA,0.14,28,0,0,0,1,2,3,3,24.1,13,10,113,25,1,0,2,18,0,0,22,0,1,3.7,4.85,1.77,108.0,82.5,0.14,-0.59
14,김승현,KIA,0.11,1,0,0,0,0,0,0,0,2.2,0,0,11,0,0,0,0,3,0,1,2,0,0,0.0,6.37,1.13,,63.2,0.11,0.01
15,유승철,KIA,0.03,1,0,0,0,0,0,0,0,1.0,0,0,4,0,0,0,0,1,0,0,0,0,0,0.0,6.37,1.0,,63.1,0.03,0.0
16,김건국,KIA,0.03,2,0,0,2,0,0,0,0,3.1,2,2,16,3,0,1,0,2,0,1,2,0,0,5.4,4.87,1.5,74.0,82.7,0.03,-0.1
17,파노니,KIA,0.02,1,0,0,1,0,0,0,0,4.0,2,2,17,4,2,0,0,1,0,0,2,0,0,4.5,3.12,1.25,88.8,128.8,0.02,-0.05
18,박준표,KIA,-0.06,18,0,0,0,0,0,0,3,13.1,9,8,55,15,2,1,1,2,0,0,7,0,1,5.4,3.75,1.28,74.0,106.7,-0.06,-0.08
19,곽도규,KIA,-0.12,6,0,0,0,0,0,0,0,5.0,5,5,26,5,1,0,0,6,0,0,7,0,1,9.0,4.17,2.2,44.4,96.5,-0.12,-0.1
20,윤중현,KIA,-0.12,7,0,0,0,0,0,0,0,7.2,6,6,33,12,1,0,2,2,0,0,1,0,0,7.04,7.29,1.83,56.7,54.6,-0.12,0.2
21,황동하,KIA,-0.14,8,0,0,1,0,2,0,0,12.1,9,7,57,10,3,0,1,11,0,0,8,0,0,5.11,5.81,1.7,78.2,69.0,-0.14,-0.36
22,김대유,KIA,-0.18,19,0,0,0,0,2,0,2,13.0,10,10,57,11,0,1,2,5,1,5,16,0,0,6.92,4.99,1.23,57.7,79.8,-0.18,-0.57
23,김재열,KIA,-0.19,3,0,0,0,0,0,0,0,6.0,6,6,33,9,2,0,0,6,0,0,4,0,0,9.0,5.04,2.5,44.4,79.9,-0.19,0.02
24,메디나,KIA,-0.67,12,0,0,12,2,6,0,0,58.0,42,39,269,64,16,1,6,29,0,9,36,1,5,6.05,5.44,1.6,66.0,73.6,-0.67,-1.67
