Team,1,2,3,4,5,6,7,8,9,10
LG,0.947,0.000,0.010,0.042,0.001,0.000,0.000,0.000,0.000,0.000
NC,0.003,0.850,0.143,0.004,0.000,0.000,0.000,0.000,0.000,0.000
SSG,0.057,0.000,0.009,0.033,0.113,0.327,0.318,0.102,0.030,0.010
두산,0.059,0.002,0.079,0.043,0.202,0.246,0.264,0.100,0.004,0.001
KIA,0.000,0.026,0.974,0.000,0.000,0.000,0.000,0.000,0.000,0.000
키움,0.000,0.024,0.975,0.000,0.000,0.000,0.000,0.000,0.000,0.000
KT,0.001,0.000,0.001,0.001,0.030,0.266,0.232,0.465,0.004,0.001
한화,0.007,0.000,0.003,0.006,0.030,0.273,0.099,0.094,0.287,0.201
삼성,0.000,0.000,0.000,0.000,0.001,0.038,0.008,0.012,0.478,0.464
롯데,0.001,0.000,0.000,0.001,0.005,0.148,0.040,0.067,0.449,0.290
